T,log-sigma-1-0-mm-3D_glrlm_GrayLevelNonUniformity,squareroot_gldm_GrayLevelNonUniformity,log-sigma-1-0-mm-3D_glcm_ClusterShade,original_ngtdm_Complexity,squareroot_glcm_Correlation,log-sigma-1-0-mm-3D_ngtdm_Contrast,squareroot_glszm,original_glcm_InverseVariance,log-sigma-1-0-mm-3D_firstorder_Kurtosis,squareroot_glszm_LargeAreaHighGrayLevelEmphasis,squareroot_glrlm_GrayLevelNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,squareroot_ngtdm_Coarseness,log-sigma-1-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,squareroot_glcm_SumEntropy
0,,,,,,,,,,,,,,,
1,12532.877065015657,9922.784381242567,-110.684164421367,5249.065191469788,0.299314807366081,0.0305800391121983,,0.390301898665622,9.448130914681334,136971232.8125702,7485.571398228866,0.3778946345281183,3.8648509954234886e-05,166627956.45381194,5.085862914130754
2,12504.606862692,9906.672452255292,-112.74936753383489,5020.00317977005,0.3005040654453613,0.0304438256986103,,0.3931089398937621,9.574141782367407,143579738.53557873,7445.0040097925075,0.3772689158015837,3.9264819025287846e-05,167857198.73446098,5.089812168903638
3,12366.10004977942,9717.792643778224,-115.37247530191182,5327.851628248872,0.3020170893699258,0.0310322807817023,,0.3879047264972541,9.611301682739418,121325938.22912043,7390.225017293801,0.3669204060907149,3.996843061083186e-05,161098259.35407102,5.110703697907004
4,12527.528642391264,9926.693920856878,-122.76329748372096,5408.701785553696,0.3016981448160238,0.0313002847068853,,0.393414617388291,10.137689785490206,143591685.92870024,7440.329910148432,0.3758699329206348,3.877039249889188e-05,194402055.7123063,5.0902685969039245
5,12526.99236031249,9821.204363675935,-135.41742869836295,5457.46124293194,0.3017733866270946,0.0279837507922705,,0.3924591934202276,11.126488653361038,140951083.7243572,7388.400502316318,0.381666966415026,3.793599562231875e-05,218365367.3289365,5.109150634939321
6,12475.057133264783,9701.198036579017,-152.0995016471394,6446.387537686476,0.3027822213603825,0.0211928934223715,,0.3938609793248107,12.93080120784653,139100789.36650997,7321.243265509321,0.3822960827089075,3.831513105629552e-05,334362682.1485519,5.127742854290359
7,12293.589669763272,9169.498021810608,-165.90477040361114,7328.80266806851,0.3032499137879681,0.0187016678748109,,0.3905339360367372,14.472946260360708,115363601.45466636,7064.9555506575325,0.3807579241785955,3.887570755769407e-05,405032644.246395,5.204930832697236
8,12429.16150290585,9637.376299036943,-146.4612830772471,5744.548548584266,0.2992493693491446,0.023555639918708,,0.3922727049656772,12.278910256245236,131485580.6242234,7273.781344712996,0.384710956350497,3.886375189576954e-05,290678145.82194144,5.134589680279412
9,12449.837367081762,9606.688060130738,-132.14024529495725,5308.025151555823,0.2977190290214829,0.030023345520448,,0.3889952417613649,10.86862415288838,123876869.10226037,7254.20281888858,0.3880432977091329,3.943711050738868e-05,189041030.1385969,5.133519977717024
10,12315.708466131207,9578.12609888615,-118.03686384096524,4662.298749251553,0.2997549766856926,0.0300360212123233,,0.3853865078697662,9.85675665971128,108825588.5585005,7248.335028779464,0.3875973574853007,4.067965329914229e-05,156369271.24937108,5.126929810978883
11,12152.52557169186,9416.879365424826,-110.03366472931368,4649.87480534892,0.3020943063307845,0.0290672376540944,,0.3801798488181498,9.315110565617902,92488615.44670604,7199.32419548664,0.3789972178878685,4.190975076150992e-05,137255793.85253808,5.137071627227016
12,12049.875630958071,9209.878766915655,-107.03971984739152,4683.918050613624,0.3037587212613429,0.0279834939350867,,0.3747430449614191,9.057357962475391,83551531.34719472,7038.315116880656,0.3768745020996774,4.291402423299405e-05,129638377.83861648,5.163443062726826
13,11852.985944173211,8911.826440114106,-107.52669474175303,4564.262063061454,0.3083136038354049,0.0260621449937813,,0.3674438873022775,8.978899317643576,64109588.18093322,6856.236773954205,0.3705050566015704,4.452520358454118e-05,130995125.33500618,5.199883846607644
14,11638.090677553217,8212.25755326343,-112.68726899240036,5582.478064787696,0.3151389804778986,0.0234167157533093,,0.3628155910367354,9.136403173590107,41898480.95493007,6449.640118501841,0.3699480498049507,4.646812449520304e-05,142234324.29984146,5.310316937547113
15,11491.130562315382,7831.065665005868,-119.12458080642875,5589.028556009437,0.3215068335776557,0.0223312548201812,,0.3568116401124273,9.388305502104735,28509073.719580986,6226.838607547474,0.3743684311581389,4.771968425118606e-05,141397732.90429312,5.373844781553483
16,11435.12740298292,7423.931264719828,-129.51051090968895,6488.428924142013,0.326075005247979,0.0214052017282186,,0.3530506425272733,9.888085893317497,16496137.603607723,5961.486145805545,0.3777519519440971,4.799479188112107e-05,181254686.51824656,5.449950924333015
17,11365.466945994567,6951.324065509549,-143.4303496147551,7172.557128713496,0.3297049360148877,0.0183317409967075,,0.3510784765014753,10.705707113628218,10643922.871101487,5661.536627566356,0.3722303404970662,4.860915607867618e-05,236579610.1287392,5.544944825526674
18,11311.414123140969,6566.90459608404,-160.23406496524737,8830.542818876756,0.3321231454079024,0.0160082213154395,,0.34958296426391,11.876165576648184,9183108.936527692,5419.152529156683,0.3740227757303632,4.954859544446625e-05,272516738.29100454,5.628416727192881
19,11331.211487732691,6342.788423122664,-176.2196887514718,10052.772407888007,0.3331413415560317,0.0140727977333108,,0.3489955207522986,13.06905480895182,6238399.272434279,5262.317039183428,0.3779001258824198,4.940393489301026e-05,335486982.2271624,5.680414521713799
20,11368.815341732126,6219.351488111432,-190.1293445211422,10959.286040801297,0.3334918779470939,0.0124263268246243,,0.3496561691564807,14.385141115558577,6730846.059435992,5173.938167741222,0.3777537567752873,4.833383839470446e-05,406884778.71759903,5.710663218298516
21,11444.746821043806,6097.961096904075,-207.18099074872947,13014.442553512385,0.3321780221264409,0.0122152538709587,,0.3518516255562186,16.183007624226104,5664026.799082874,5091.603948250819,0.3850297674814785,4.787143030001732e-05,495830733.1764361,5.744313249437036
22,11515.351675850445,5966.916535176016,-230.14395733150087,14789.851594816337,0.329786115539269,0.0113573439862119,,0.3563240025328146,18.475412004185777,5336059.064093124,5006.3730443184495,0.3859440009555365,4.7926285852607625e-05,580377104.931379,5.783071657078073
23,11590.121567555798,6018.742983062968,-239.9967954276161,15951.185323394897,0.3267005095032166,0.0111304827579146,,0.3610535336869864,19.47616889107451,6346789.437112664,5037.752664828427,0.3874187677830101,4.706479180128266e-05,644594400.6181911,5.778840493118614
24,11733.244181791282,6163.827528312593,-240.43908043963032,16083.088287965717,0.3234784219167957,0.0108847953117532,,0.3671913474415146,19.47947275827592,7319527.367548673,5136.949973883486,0.3963468956234959,4.552008113156273e-05,702655931.8687855,5.752757243655394
25,11814.183388986135,6289.110778606017,-238.3798508142661,15432.255738217014,0.3212565580712488,0.0109317552252366,,0.3711006515815679,19.392968057377374,9246691.29661181,5221.686682427422,0.4005312949468874,4.463615363955065e-05,731355506.5225943,5.731877042539565
26,11851.276601205296,6351.398373920546,-236.93181322597533,14884.425791793374,0.3200300452025318,0.0114152764697646,,0.374654499623838,19.196232798135835,14484251.647730744,5269.637301258951,0.4003052014799085,4.426989126994818e-05,730391821.0696846,5.721573857549403
27,11940.64091448556,6613.395762244176,-219.98177392445112,13139.530367147325,0.3172420366378907,0.0124038758820371,,0.3783050332835259,17.68691770898201,15068397.84641219,5424.356948013911,0.4049289034445003,4.3441052766066506e-05,712571275.4912761,5.670704813619617
28,12074.45351620276,6927.703675779034,-200.492198194272,13063.50073100926,0.3139416096183585,0.012737262903541,,0.3805753055827032,15.800272231860973,27138055.23749889,5634.651101098884,0.401243491911631,4.247141192455447e-05,628634374.022757,5.608278525385113
29,12047.63984675893,7327.285729831407,-200.56846241071,10390.815076947856,0.3133462003393042,0.0157805589032259,,0.3835990376975131,14.426054468212326,43749094.0836034,5876.622976199106,0.4111609039084998,4.219101324067715e-05,517007903.1325578,5.529918603730066
30,11971.455640383349,7774.068797462943,-232.04065643985643,8597.04886335518,0.3142604105236932,0.0186179140184865,,0.3835423910195513,16.23454104729658,53771446.63710876,6183.724815799875,0.4133671896132524,4.222574943077053e-05,388437086.5667233,5.443872048515162
31,12047.384692938149,8203.599846097643,-295.5795842891377,9736.024331480718,0.3129809168085486,0.0169803086650091,,0.3874174559000831,22.64194448586025,59149132.65444556,6399.877318482362,0.4225157231262761,4.138119549944616e-05,543231299.881149,5.37513118707333
32,12137.07962057498,7553.855137462788,-396.10168577646186,12358.723257681671,0.3114282135377661,0.0134107578519124,,0.3870954638433806,32.98610514161074,56114099.42526367,6016.455554646963,0.4255651496185527,4.0527252633842496e-05,839703398.2773321,5.501214581841281
33,12145.3565474284,8027.826160291637,-308.7619419393619,9877.226125167066,0.3103567812813304,0.0155822203155064,,0.3877650349762328,25.390387372626883,59776637.35404916,6315.496869854072,0.4132638555438184,4.097625065285918e-05,629139153.7048271,5.4061747714475565
34,12056.708507535384,8644.652724771284,-220.6746264171319,7624.683191486612,0.3097958889032155,0.01920882512534,,0.3828930973646457,17.112882662232618,75671620.6504823,6738.224801641963,0.4023408420737954,4.169968417468049e-05,352621413.4365691,5.28305139614095
35,12174.264019540882,8702.763627742843,-163.38968431838506,6921.363180531916,0.3070611595235794,0.0236731044235564,,0.3848144354217665,12.26237572630082,79656182.36312786,6760.744959010772,0.4027912441633863,4.1200006944593465e-05,266503895.10385364,5.271809038655773
36,12254.030441415263,8673.79806922497,-132.08076932823968,6972.13057430447,0.304873921467936,0.0238711009761508,,0.3830575378683163,10.433152046557684,71768388.3294851,6773.136327378151,0.3949463449165977,4.081111255501098e-05,278222737.35253453,5.270441929242547
37,12219.381259788692,8725.290113716743,-127.14909734017412,6926.303589042657,0.3040273199135883,0.0233319619552456,,0.3846056258501856,10.309931735072134,73147934.24842474,6781.890936432582,0.3824550257564001,4.128816453503895e-05,271164637.13025445,5.261247442104154
38,12106.480040615474,8629.006280459842,-123.88015050639696,6933.705453307416,0.3034453813284505,0.0233670652738867,,0.3812827596134805,10.123330220203911,62940718.93084989,6765.627703164806,0.3817442036013725,4.1964649857776776e-05,248694805.44668543,5.2691615273786425
39,12219.733342767917,8712.187473280841,-122.47948346695875,7363.527078186586,0.3028937779791896,0.0219111670623829,,0.3842496579827346,10.170959290678056,80983643.24280387,6776.988074471505,0.38361116364116,4.131019666857036e-05,284551496.1478484,5.260689306071253
40,12215.008452298543,8656.076927860213,-121.13622779260848,7160.635360713167,0.3026771292163866,0.0218732299834857,,0.3827276266134409,10.118041971906742,76926451.27311654,6774.116839679216,0.382724926540494,4.089009941485842e-05,280884804.02126974,5.267899604892917
